Address,Street,City,State,ZipCode,zpid,url,hasImage,status,soldPrice,beds,baths,area,latitude,longitude,isZillowOwned,soldDate,Type,lotArea,lotAreaUnits,taxAssessedValue,yearBuilt,livingArea,hoaFee,sunScore,buildFactor,climateFactor,electricityFactor,solarFactor,description,suburb,hasCooling,cooling,heating,parkingCapacity,parkingLocation,garageCapacity,basement,flooring,view,stories,porch,pricePerSquareFoot,roof,style,listDate,listPrice,walk_score,transit_score,bike_score
"3488 Beechwood Blvd, Pittsburgh, PA 15217",3488 Beechwood Blvd,Pittsburgh,PA,15217,11639552,https://www.zillow.com/homedetails/3488-Beechwood-Blvd-Pittsburgh-PA-15217/11639552_zpid/,TRUE,SOLD,263000,3,2,1450,40.42228,-79.92733,FALSE,8/14/2020,SINGLE_FAMILY,0,sqft,169100,1928,1450,0,89.21,76.8,6.06,2.91,3.44,"This ""Move In Ready Home"" is an absolute must see!!  Enjoy sitting out on the front porch or on the back deck which has lovely built in benches.  The charming and private fenced back yard leads to the off street parking behind the house.  This brick home has beautiful hard wood floors, a neutral decor, and plenty of natural light. Enjoy cooking in the convenient kitchen that includes stainless steel appliances.   The finished lower level could be used as a family room area, office space,  or a work out area.    This home is conveniently located near shopping, restaurants, and is a quick commute to downtown and I376.",Greenfield,TRUE,Window A/C,"Natural Gas,Hot Water",3,Off Street,NA,FALSE,"Ceramic Tile,Hardwood",FALSE,2,,181,Asphalt,,7/1/2020,275000,80,50,53
"6626 Darlington Rd, Pittsburgh, PA 15217",6626 Darlington Rd,Pittsburgh,PA,15217,11289557,https://www.zillow.com/homedetails/6626-Darlington-Rd-Pittsburgh-PA-15217/11289557_zpid/,TRUE,SOLD,570000,5,5,2304,40.435665,-79.91306,FALSE,8/12/2020,SINGLE_FAMILY,0,sqft,313200,1922,2304,0,79.61,67.2,6.06,2.91,3.44,"Introducing a wonderfully updated home in Squirrel Hill.  This home features 5 bedrooms, 3 full baths, 2 half baths.  Bright and airy throughout the home.  Hardwood floors throughout the home are in great shape. Whole house electric has been updated recently. New slate roof and copper gutter installed recently. private quiet patio and backyard. Integral garage in basement. Home is zoned to Colfax! Walking distance to Frick Park and main shopping district in Squirrel Hill.  4 minute walk to bus stop at Forbes and Dallas.",Squirrel Hill South,TRUE,Window A/C,"Natural Gas,Hot Water",2,Garage,NA,FALSE,Hardwood,FALSE,3,,247,Slate,Tudor,43880,630000,67,51,64
"5543 Pocusset St, Pittsburgh, PA 15217",5543 Pocusset St,Pittsburgh,PA,15217,11635235,https://www.zillow.com/homedetails/5543-Pocusset-St-Pittsburgh-PA-15217/11635235_zpid/,TRUE,SOLD,390000,4,4,1736,40.430073,-79.92866,FALSE,8/12/2020,SINGLE_FAMILY,6120,sqft,155000,1925,1736,0,77.21,64.8,6.06,2.91,3.44,"Perfectly Situated in the true heart of Squirrel Hill, this incredibly spacious home offers a multitude of options to maximize your living experience. First floor master with powder room make many different layouts possible!!! The large living room with custom woodwork, meticulously crafted throughout with gorgeous electric fireplace and hardwood floors all adding warmth and character. The totally updated kitchen has granite countertops, all stainless steel appliances, and two sinks for your convenience!  On the second floor you will find yet another suite with a full bath, large walk in closet all in its own secluded wing and two additional bedrooms with another full bath. Everything has been totally updated and there's even a finished basement with yet another full bath. The private fenced in backyard and spacious front porch are perfect for relaxing and entertaining too! In the Colfax/Alderdice school district.",Squirrel Hill South,TRUE,Central Air,"Natural Gas,Forced Air",1,Detached,NA,FALSE,"Hardwood,Tile,Wall to Wall",FALSE,2,,225,Asphalt,,4/17/2019,449900,80,52,65
"6358 Alderson St, Pittsburgh, PA 15217",6358 Alderson St,Pittsburgh,PA,15217,11636051,https://www.zillow.com/homedetails/6358-Alderson-St-Pittsburgh-PA-15217/11636051_zpid/,TRUE,SOLD,450000,6,3,2450,40.427597,-79.9201,FALSE,8/10/2020,SINGLE_FAMILY,0,sqft,268500,1910,2450,0,91.61,79.2,6.06,2.91,3.44,"Located close to Frick Park and Squirrel Hill's shopping district, this 6 bedroom, 2 1/2 bath Colonial is the house you have been looking for. Have a drink on your private, covered, newly rebuilt front porch that overlooks beautiful redone tiered landscaped gardens. Have some playtime in the newly expanded backyard, featuring an enlarged stone patio, redone lawn, and full fence enclosure.  Come inside to see the well-appointed dining room, living room, kitchen, and half bath. Head upstairs and unwind in the large Master bedroom featuring an ensuite renovated bath. Four additional large bedrooms. Another updated beautiful full bathroom. Upstairs Laundry Room! And an enormous bonus bedroom/family room/office.   Bright, spacious, perfect location, Central Air Conditioning! Come and see!",Squirrel Hill South,TRUE,Central Air,Natural Gas,0,On Street,NA,FALSE,"Hardwood,Tile,Wall to Wall,Carpet",FALSE,3,,184,Composition,Colonial,5/21/2020,465000,84,51,64
"2334 Tilbury Ave, Pittsburgh, PA 15217",2334 Tilbury Ave,Pittsburgh,PA,15217,11635539,https://www.zillow.com/homedetails/2334-Tilbury-Ave-Pittsburgh-PA-15217/11635539_zpid/,TRUE,SOLD,263395,4,2,NA,40.429886,-79.91828,FALSE,8/10/2020,SINGLE_FAMILY,NA,NA,230000,1920,NA,0,86.81,74.4,6.06,2.91,3.44,"Beautifully renovated four bedroom, one and a half bath home in sought-after Squirrel Hill neighborhood. The house has a spacious living room with recessed lighting and beautiful hardwood floors. The light-filled dining room has custom Anderson sliding doors that open onto a lovely deck with surrounding custom privacy shades. Recently updated kitchen has tons of cabinets, granite counter tops, ceramic tile floors and stainless steel appliances, including almost new refrigerator. Brand new furnace and central air conditioning, along with recently replaced hot-water heater. Second floor has been freshly painted with brand new carpeting throughout the second and third floors. Large third floor room is perfect as a home office or an extra bedroom. Close to shopping, around the corner from Frick park and half a block to bus line, this house is a treasure",Squirrel Hill South,TRUE,Central Air,"Natural Gas,Radiant",0,On Street,NA,FALSE,"Ceramic Tile,Hardwood",FALSE,3,,NA,Asphalt,,43982,315000,83,51,72
"3566 Beechwood Blvd, Pittsburgh, PA 15217",3566 Beechwood Blvd,Pittsburgh,PA,15217,11636344,https://www.zillow.com/homedetails/3566-Beechwood-Blvd-Pittsburgh-PA-15217/11636344_zpid/,TRUE,SOLD,379900,3,1.5,1494,40.42448,-79.9268,FALSE,8/10/2020,SINGLE_FAMILY,2647,sqft,104000,1924,1494,0,92.41,80,6.06,2.91,3.44,"3566 Beechwood Blvd. sits right on the bus line, mere moments from the Waterfront, Oakland, Squirrel Hill and Greenfield’s Shopping districts. 
Updated from top-to-bottom the home features refinished hardwood floors, an updated kitchen and all the mechanical systems have been updated. There is central air and a garage. There is a semi-finished basement with a nice powder room.
The home’s versatility is likely its best attribute. Located in one of the best rental areas in the entire City—3566 Beechwood makes a great primary residence and a fantastic investment property. For a limited time the home can be purchased with its sister home located next door at 3568 Beechwood Blvd. That home is offered for $134,900.
For more photos and information visit my website at http://www.billjacobyhomes.com
or call me at 412-400-3812. Bill Jacoby Pittsburgh’s City Agent is a Realtor at Prudential Preferred Realty’s City Office. 5801 Forbes Ave. Pittsburgh, PA 15217.
",Greenfield,TRUE,Central,"Forced air,Gas",1,"Garage,Garage - Detached,Covered",NA,FALSE,"Tile,Hardwood",TRUE,NA,,254,Asphalt,,5/12/2010,140000,83,50,63
"3566-68 Beechwood Blvd, Pittsburgh, PA 15217",3566-68 Beechwood Blvd,Pittsburgh,PA,15217,2079188946,https://www.zillow.com/homedetails/3566-68-Beechwood-Blvd-Pittsburgh-PA-15217/2079188946_zpid/,TRUE,SOLD,379900,NA,0,NA,40.43469,-79.91231,FALSE,8/7/2020,MULTI_FAMILY,NA,NA,NA,1929,NA,0,NA,NA,NA,NA,NA,"Calling all investors! This duplex is located in a convenient location with easy access to 376, and close to shopping at the Waterfront. On the left side, a three bedroom, one bathroom home with a large living room, dining room, and kitchen, and an unfinished basement. On the right side, a three bedroom, one and a half bathroom home with living room, dining, and kitchen. The lower level is finished and offers a laundry area and access to outside. In the rear, parking available for four cars, and a two car detached garage with shared driveway.",Squirrel Hill South,NA,,,2,Detached,NA,FALSE,,FALSE,NA,,NA,Asphalt,,6/10/2020,379900,83,50,63
"5429 Bartlett St, Pittsburgh, PA 15217",5429 Bartlett St,Pittsburgh,PA,15217,11631667,https://www.zillow.com/homedetails/5429-Bartlett-St-Pittsburgh-PA-15217/11631667_zpid/,TRUE,SOLD,450000,3,3,2494,40.434967,-79.93239,FALSE,8/6/2020,SINGLE_FAMILY,5680.224,sqft,225500,1927,2494,0,86.81,74.4,6.06,2.91,3.44,"Classic Brick & Stucco 2 1/2 story home located in Squirrel Hill just a short walk to Schenley Park.  This home features hardwood floors, beautiful woodwork, and has lots of charm.  A large living room with decorative fireplace, sun room, dining room with built-ins & french doors, powder room, and updated eat-in kitchen with Butcher Block counter tops on first floor.  The 2nd floor has master bedroom, 2 additional bedrooms, and a full bathroom.  Third floor has two additional rooms, a full bath, and offers many possibilities for a 4th bedroom and a room perfect for a home office.  One car detached garage with private driveway.  Conveniently located to Pitt, CMU, UPMC hospitals, shopping, and dining.  Great potential with lots of space.",Squirrel Hill South,NA,,"Natural Gas,Hot Water",1,Detached,NA,FALSE,"Ceramic Tile,Hardwood",FALSE,3,,180,Asphalt,,44012,445429,64,55,61
"6522 Darlington Rd, Pittsburgh, PA 15217",6522 Darlington Rd,Pittsburgh,PA,15217,11289394,https://www.zillow.com/homedetails/6522-Darlington-Rd-Pittsburgh-PA-15217/11289394_zpid/,TRUE,SOLD,738000,5,5,2115,40.436115,-79.91538,FALSE,8/5/2020,SINGLE_FAMILY,0,sqft,249600,1933,2115,0,72.41,60,6.06,2.91,3.44,"This beautiful home in the heart of Squirrel Hill welcomes you with a renovated facade & grounds, featuring an underground heating system for the staircase and expansive porch; one never has to worry about snow & ice accumulating! This beautiful 3 story brick home is complete with 5 bedrooms, 4 1/2 bathrooms and a finished basement highlighting a billiard room, wet bar, and a full bathroom! Enjoy a spacious living room w/oversized bay window & wood burning fireplace, generous eat-in kitchen & a rear deck & courtyard—perfect for dining, relaxing & playtime! Sonos sound system throughout. Refinished genuine hardwood flooring throughout the 1st & 2nd floors. The property also features an in-ground sprinkling system. Located a few blocks from the Murray & Forbes business district, which offers the best restaurants, shopping, fitness, yoga, coffee shops & theaters—the most walk-able area in the city! Just minutes to Pitt, CMU, UPMC, Google, Downtown, Oakland & the Strip District. Must see!",Squirrel Hill South,TRUE,Central Air,"Natural Gas,Hot Water",2,Off Street,NA,FALSE,"Ceramic Tile,Hardwood,Wall to Wall,Carpet",FALSE,3,,349,Asphalt,Other,5/21/2020,849000,80,53,64
"112 Overton Ln, Pittsburgh, PA 15217",112 Overton Ln,Pittsburgh,PA,15217,87995055,https://www.zillow.com/homedetails/112-Overton-Ln-Pittsburgh-PA-15217/87995055_zpid/,TRUE,SOLD,601000,3,3,2560,40.419437,-79.91678,FALSE,7/31/2020,TOWNHOUSE,0,sqft,387200,2006,2560,0,92.41,80,6.06,2.91,3.44,"RARE gem in the heart of Summerset at Frick Park! Enjoy easy, low maintenance living in this beautiful brick Townhome, featuring a 1st floor Master suite. This hard-to-find floor plan features soaring 10' ceilings, dazzling hardwood floors, spacious rooms and an integrated sound system. Stylish and well-appointed, you'll enjoy a gas fireplace in the living room, Silestone counters & stainless steel appliances in the eat-in kitchen and a private Master suite with a walk-in closet and luxurious bath. Convenient 1st floor laundry/mudroom. French doors from the dining room take you out to the patio with plenty of room for grilling and grass for gardening or pets.  Upstairs you'll find 2 large bedrooms (one with a built-in Murphy bed), a home office and a full hall bath. You will love the prime location in this vibrant neighborhood, just steps from the heated swimming pools, gym, playground, community center & basketball court. Easy commute to Oakland, Shadyside & Downtown!",Squirrel Hill South,TRUE,Central Air,"Natural Gas,Forced Air",2,"Attached,Garage Door Opener",NA,FALSE,"Hardwood,Tile,Wall to Wall,Carpet",FALSE,2,,235,Asphalt,Provincial,44007,575000,25,47,34
"5545 Woodmont St, Pittsburgh, PA 15217",5545 Woodmont St,Pittsburgh,PA,15217,11630572,https://www.zillow.com/homedetails/5545-Woodmont-St-Pittsburgh-PA-15217/11630572_zpid/,TRUE,SOLD,375000,3,2,NA,40.442123,-79.92898,FALSE,7/31/2020,SINGLE_FAMILY,NA,NA,2.00E+05,1920,NA,0,92.41,80,6.06,2.91,3.44,"Charming house with many updates in phenomenal Squirrel Hill location, north of Forbes! Gleaming hardwoods, pretty mantel & light and bright first floor. Updated kitchen with contemporary cabinets & countertops and stainless steel appliances. Living room, dining room, plus pretty enclosed porch with 3 walls of windows. First floor addition with mudroom, laundry area and newer full bath with standup shower. Second floor features 3 bedrooms with lots of built-ins in master, good storage and hallway bath. Additional room in lower level with handsome paneling could be office or gameroom. Large level lot with nice backyard and detached garage, currently used for storage. Terrific location, just around the corner from the upcoming Wightman Park and ballfields, easy access to Squirrel Hill shops and restaurants and all hospitals and universities. Zoned for Colfax! Spacious rooms, lovely location and the very best of city living!",Squirrel Hill North,NA,,"Natural Gas,Hot Water",1,Detached,NA,FALSE,"Hardwood,Tile",FALSE,2,,NA,,,5/14/2020,425000,65,58,76
"2826 Beechwood Blvd, Pittsburgh, PA 15217",2826 Beechwood Blvd,Pittsburgh,PA,15217,11636630,https://www.zillow.com/homedetails/2826-Beechwood-Blvd-Pittsburgh-PA-15217/11636630_zpid/,TRUE,SOLD,565000,4,3,2101,40.424187,-79.92056,FALSE,7/31/2020,SINGLE_FAMILY,0,sqft,150000,1925,2101,0,20.41,8,6.06,2.91,3.44,"2826 Beechwood Blvd is the best Squirrel Hill! Nothing like it exists with completely new mechanics (plumbing, electrical, HVAC, insulation), a stunning white kitchen complete with Armina Stone granite counter tops! Wait until you experience the addition built by a previous owner which has to add 200 sq ft!  Professionally staged & photographed this white & gray beauty will sure to ""sparkle"". The top floor can be a 4th bedroom with a large walk-in closet and office nook or 3rd indoor living space or dedicated office, yoga room etc. The owner's suite does not have your old home little closet & has a fantastic en-suite 3/4 bath all white, light & bright. 6' completely fenced in back yard!",Squirrel Hill South,TRUE,"Central Air,Electric","Natural Gas,Forced Air",1,Garage,NA,FALSE,"Ceramic Tile,Hardwood,Wall to Wall",FALSE,3,,269,Asphalt,Colonial,44016,569364,57,48,52
"1228 Fairstead Ln, Pittsburgh, PA 15217",1228 Fairstead Ln,Pittsburgh,PA,15217,87992335,https://www.zillow.com/homedetails/1228-Fairstead-Ln-Pittsburgh-PA-15217/87992335_zpid/,TRUE,SOLD,566501,3,3,1964,40.4214,-79.91348,FALSE,7/30/2020,SINGLE_FAMILY,3510,sqft,414700,2004,1964,0,92.41,80,6.06,2.91,3.44,"Pristine townhouse in Summerset on quiet street with access to Fitness & Community Center & outdoor pool! Open floor plan with 10' high ceilings & hardwood floors on 1st floor. Living & dining areas are spacious and flooded with natural light that streams in thru over-sized windows. Stunning dual fabric shades & drapes on windows are included. Decorative FP in LR is flanked by bookcases on both sides. Patio doors lead from dining room to spacious Trex deck & yard. Kitchen features quartz counters, stainless appliances & ample cabinetry plus room for 4 guests at large peninsula. Access to the garage is direct from kitchen. Upstairs, can be found the laundry, hall bath, master bedroom & 2 additional bedrooms. MBR features 2 huge closets, bath w/jet spray tub & tiled shower area. 2 additional BRs are spacious & feature lg closets w/shelving & lighting. Ceiling fans in all BRs! Crawl space in basement for storage. Lo-maint yard & privacy fence! 2-car over-sized garage. 1-yr home warranty.",Squirrel Hill South,TRUE,Central Air,"Natural Gas,Forced Air",2,"Attached,Garage Door Opener",NA,FALSE,"Ceramic Tile,Hardwood,Wall to Wall",FALSE,2,,288,Composition,Cottage,6/12/2020,589000,15,42,35
"915 Deely St, Pittsburgh, PA 15217",915 Deely St,Pittsburgh,PA,15217,11544838,https://www.zillow.com/homedetails/915-Deely-St-Pittsburgh-PA-15217/11544838_zpid/,TRUE,SOLD,178000,2,2,NA,40.423454,-79.93294,FALSE,7/30/2020,SINGLE_FAMILY,NA,NA,104900,1951,NA,0,82.01,69.6,6.06,2.91,3.44,"GORGEOUS AND FULL OF UNIQUE CHARACTER!! MAKE THIS CHARMING COTTAGE HOME, WITH ALL THE AMENITIES OF CITY LIVING! MASSIVE WOODEN FRONT DECK. COPIOUS NATURAL LIGHT. GLEAMING PRISTINE HARDWOOD FLOORS THROUGHOUT; A DECORATIVE FIREPLACE IN THE EXPANSIVE LIVING ROOM. DINING ROOM AND KITCHEN OPEN CONCEPT WITH CONTEMPORARY STYLE. TWO LARGE BEDROOMS AND NEWLY RENOVATED FULL BATHROOM. MASSIVE GAME ROOM WITH SO MANY UNIQUE QUALITIES; ORIGINAL OWNER WAS A TILE LAYER AND DECORATED THE GAME ROOM AND GARAGE! AMPLE SPACE FOR TWO CARS WITH REAR BASEMENT AND GARAGE ACCESS. CONVENIENCE TO BUS LINE AND ALL MAJOR HIGHWAYS. TRULY ONE OF A KIND AND A MUST SEE!",Greenfield,TRUE,Central Air,"Natural Gas,Forced Air",3,"Garage,Garage Door Opener",NA,FALSE,"Ceramic Tile,Hardwood",FALSE,1,,NA,Asphalt,Cottage,9/5/2019,204900,77,48,47
"850 Mirror St, Pittsburgh, PA 15217",850 Mirror St,Pittsburgh,PA,15217,11540505,https://www.zillow.com/homedetails/850-Mirror-St-Pittsburgh-PA-15217/11540505_zpid/,NA,SOLD,250000,4,2,2088,40.425785,-79.93383,FALSE,7/30/2020,MULTI_FAMILY,4500,sqft,147000,1950,2088,0,89.21,76.8,6.06,2.91,3.44,"850 Mirror St, Pittsburgh, PA 15217 is a multi family home that contains 2,088 sq ft and was built in 1950. It contains 4 bedrooms and 2 bathrooms. This home last sold for $250,000 in July 2020. 
 
The Zestimate for this house is $275,800. The Rent Zestimate for this home is $1,753/mo. ",Greenfield,FALSE,,Other,0,"Underground/Basement,Garage - Attached",NA,FALSE,,FALSE,NA,,120,Shake / Shingle,,NA,NA,64,49,60
"1521 Biltmore Ln, Pittsburgh, PA 15217",1521 Biltmore Ln,Pittsburgh,PA,15217,92380820,https://www.zillow.com/homedetails/1521-Biltmore-Ln-Pittsburgh-PA-15217/92380820_zpid/,TRUE,SOLD,625000,3,3,NA,40.419464,-79.91767,FALSE,7/27/2020,SINGLE_FAMILY,NA,NA,324600,2008,NA,0,90.01,77.6,6.06,2.91,3.44,"Charming Cottage home located in the desirable Summerset at Frick Park neighborhood! A welcoming covered porch and dazzling hardwood floors greet you as you enter the bright & open first floor. The living room features large windows and a cozy fireplace with marble surround, steps away from the dining room punctuated by a chandelier and crown moulding. The spacious kitchen delights with granite countertops, crisp white cabinetry and stainless steel appliances. Upstairs you'll find a deluxe Master suite with an oversized walk-in closet and refreshed bath with a double marble vanity and walk-in shower. Two more cheerful bedrooms share a hall bath with a tub/shower enclosure. Entertain with ease on the private rear deck, play in the yard or take a stroll to McLean Park. Enjoy all of the neighborhood amenities and a quick commute to Downtown, Oakland and Shadyside. Welcome home!",Squirrel Hill South,TRUE,Central Air,"Natural Gas,Forced Air",2,"Attached,Garage Door Opener",NA,FALSE,"Hardwood,Tile,Wall to Wall,Carpet",FALSE,2,,NA,Asphalt,Cottage,5/20/2020,625000,25,47,34
"2542 Beechwood Blvd, Pittsburgh, PA 15217",2542 Beechwood Blvd,Pittsburgh,PA,15217,11289764,https://www.zillow.com/homedetails/2542-Beechwood-Blvd-Pittsburgh-PA-15217/11289764_zpid/,TRUE,SOLD,260000,5,5,2118,40.4291,-79.91613,FALSE,7/27/2020,SINGLE_FAMILY,7140,sqft,246900,1920,2118,0,86.81,74.4,6.06,2.91,3.44,"This property is being sold as is.  In need of total rehab.  Across from Blue slide park, near CDS, Colfax , Allderdice, Bus to town Great location and fabulous potential for creating a beautiful Sq Hill home.",Squirrel Hill South,TRUE,Window A/C,"Natural Gas,Hot Water",1,Garage,NA,FALSE,Hardwood,FALSE,3,,123,Slate,Other,6/26/2020,325000,70,49,64
"641 Montclair St, Pittsburgh, PA 15217",641 Montclair St,Pittsburgh,PA,15217,11545211,https://www.zillow.com/homedetails/641-Montclair-St-Pittsburgh-PA-15217/11545211_zpid/,TRUE,SOLD,138000,3,2,1616,40.42058,-79.93463,FALSE,7/27/2020,SINGLE_FAMILY,5400,sqft,99900,1924,1616,0,20.41,8,6.06,2.91,3.44,"This large 2 story brick home awaits its new owners.  Greeting you on arrival are mature trees & fenced in yard. Enclosed front porch is the perfect mud room. Spacious living room features hardwood floors, neutral color palette & decorative fireplace. Dining room is filled w/natural light & ideal for entertaining dinner guests. It will be a breeze preparing meals in the large kitchen, w/an abundance of custom cabinetry, tiled backsplash, plenty of workspace, fully equipped w/appliances & a separate eat in area. Upstairs, find an over-sized MBR w/ample closet space. Updated full bath w/ceramic tile & built in corner cabinet. 2 additional BD are nice-sized w/hardwood floors. LL has laundry, mechanicals & tons of storage space. Step out on the large rear deck accessed from the kitchen. This is the perfect spot to enjoy a morning cup of coffee or for cooking meals on the grill. There is plenty of space for children & pets to enjoy spending time outdoors in the huge fenced in yard.",Greenfield,TRUE,Window A/C,"Natural Gas,Forced Air",0,On Street,NA,FALSE,"Ceramic Tile,Hardwood,Vinyl",FALSE,2,,85,Asphalt,Colonial,2/6/2019,183000,61,48,34
"5666 Melvin St, Pittsburgh, PA 15217",5666 Melvin St,Pittsburgh,PA,15217,11635278,https://www.zillow.com/homedetails/5666-Melvin-St-Pittsburgh-PA-15217/11635278_zpid/,NA,SOLD,145000,3,2,1632,40.43024,-79.924706,FALSE,7/27/2020,SINGLE_FAMILY,3738,sqft,140500,1910,1632,0,89.21,76.8,6.06,2.91,3.44,"5666 Melvin St, Pittsburgh, PA 15217 is a single family home that contains 1,632 sq ft and was built in 1910. It contains 3 bedrooms and 2 bathrooms. This home last sold for $145,000 in July 2020. 
 
The Zestimate for this house is $175,700. The Rent Zestimate for this home is $1,900/mo. ",Squirrel Hill South,FALSE,,Other,0,Garage,NA,FALSE,,FALSE,NA,,89,Shake / Shingle,,NA,NA,92,52,65
"1002 Hasley Ln, Pittsburgh, PA 15217",1002 Hasley Ln,Pittsburgh,PA,15217,59836498,https://www.zillow.com/homedetails/1002-Hasley-Ln-Pittsburgh-PA-15217/59836498_zpid/,TRUE,SOLD,540000,3,3,1964,40.42363,-79.912476,FALSE,7/24/2020,SINGLE_FAMILY,0,sqft,385000,2002,1964,0,92.41,80,6.06,2.91,3.44,"Picturesque Paired Cottage home located on a quiet tree-lined street in Summerset at Frick Park. Freshly painted, light & bright open concept 1st floor features large windows, hardwood floors and 10' ceilings. The spacious living room is punctuated by a gas fireplace & chandelier, steps away from the gourmet kitchen & dining room. Crisp white appliances, ample solid wood cabinets, new granite countertops & a deep stainless sink will delight any chef! Sliding glass door from the dining room leads to a large Trex deck & a HUGE, fence-able side yard. Upstairs you'll find brand new carpeting and the Master suite with double closets & private bath with jetted tub & separate tiled shower. Bedrooms #2 and #3 share a full hall bath with double vanity & a tub/shower enclosure. Convenient 2nd floor laundry room. The oversized 2 car garage and crawl space provide additional storage. Enjoy all of the neighborhood amenities and a convenient location - minutes to Oakland, Downtown & Shadyside.",Squirrel Hill South,TRUE,Central Air,"Natural Gas,Forced Air",2,"Attached,Garage Door Opener",NA,FALSE,"Hardwood,Tile,Wall to Wall,Carpet",FALSE,2,,275,Composition,Cottage,43892,599000,27,41,40
"609 Worth St, Pittsburgh, PA 15217",609 Worth St,Pittsburgh,PA,15217,11287931,https://www.zillow.com/homedetails/609-Worth-St-Pittsburgh-PA-15217/11287931_zpid/,TRUE,SOLD,352000,4,2,1510,40.44628,-79.91245,FALSE,7/24/2020,TOWNHOUSE,1734,sqft,193400,1930,1510,0,92.41,80,6.06,2.91,3.44,"Move in condition! This Squirrel Hill end-unit townhome has 4 bedrooms, 1.5 bathrooms, wood floors and a NEW kitchen! The main level welcomes you with a lovely private front porch, enter into the living room with decorative fire place, built-in bookshelves and high ceilings. Next is the spacious dining room and then the New kitchen (2019). The kitchen has light grey cabinets, stainless appliances and quartz counters. Just at the back of the house is the mudroom and powder room (2017). The second level has two bedrooms and a full bathroom. The third level also has two bedrooms.  There is a patio and shed in the back with a covered parking space.",Squirrel Hill North,TRUE,Central Air,"Natural Gas,Forced Air",1,Covered,NA,FALSE,"Hardwood,Other",FALSE,3,,233,Other,Victorian,5/13/2020,350000,59,51,75
"6414 Phillips Ave, Pittsburgh, PA 15217",6414 Phillips Ave,Pittsburgh,PA,15217,11289678,https://www.zillow.com/homedetails/6414-Phillips-Ave-Pittsburgh-PA-15217/11289678_zpid/,TRUE,SOLD,265000,3,2,1200,40.43242,-79.91434,FALSE,7/24/2020,SINGLE_FAMILY,0,sqft,149000,1917,1200,0,92.41,80,6.06,2.91,3.44,"Welcome Home to this Newly Updated All Brick Home on a Very Quiet Cul De Sac Street with a 2-Car Garage!!! This No Maintenance Exterior Home offers a Large Private Covered Porch, Beautiful Hardwood Floors Throughout, New Kitchen Cabinets, Counters and Ceramic Floor, New Roof, Newer Windows with Custom Blinds and Lots of Storage, Basement Could Be Separate Unit with Entrance. Very Private Location but Close to Everything Including Walking distance to Frick Park!",Squirrel Hill South,TRUE,"Central Air,Electric","Natural Gas,Forced Air",2,Detached,NA,FALSE,"Ceramic Tile,Hardwood",FALSE,2,,221,Other,,43991,264500,68,50,65
"5920 Douglas St, Pittsburgh, PA 15217",5920 Douglas St,Pittsburgh,PA,15217,11635098,https://www.zillow.com/homedetails/5920-Douglas-St-Pittsburgh-PA-15217/11635098_zpid/,TRUE,SOLD,253000,3,1,NA,40.433228,-79.91904,FALSE,7/24/2020,TOWNHOUSE,NA,NA,155000,1942,NA,0,81.21,68.8,6.06,2.91,3.44,"Updated townhome in the heart of Squirrel Hill. Gleaming hardwood floors on the first floor. Professionally painted throughout, charming features from original construction throughout the home. Great location, walking distance to shops, stores, and restaurants. Minutes from major universities and downtown Pittsburgh!",Squirrel Hill South,NA,,"Natural Gas,Forced Air",0,,NA,FALSE,"Hardwood,Tile",FALSE,2,,NA,,,3/13/2020,265000,86,52,71
"126 Blackmore St, Pittsburgh, PA 15217",126 Blackmore St,Pittsburgh,PA,15217,11290435,https://www.zillow.com/homedetails/126-Blackmore-St-Pittsburgh-PA-15217/11290435_zpid/,NA,SOLD,47994,3,1,1476,40.416714,-79.914734,FALSE,7/22/2020,SINGLE_FAMILY,2342,sqft,41000,1900,1476,0,71.61,59.2,6.06,2.91,3.44,"126 Blackmore St, Pittsburgh, PA 15217 is a single family home that contains 1,476 sq ft and was built in 1900. It contains 3 bedrooms and 1 bathroom. This home last sold for $47,994 in July 2020. 
 
The Rent Zestimate for this home is $1,495/mo. ",Swisshelm Park,FALSE,,Other,0,,NA,FALSE,,FALSE,NA,,33,Shake / Shingle,,NA,NA,27,47,35
"Blackmore St, Pittsburgh, PA 15217",Blackmore St,Pittsburgh,PA,15217,164559424,https://www.zillow.com/homedetails/Blackmore-St-Pittsburgh-PA-15217/164559424_zpid/,NA,SOLD,47994,NA,NA,NA,40.416668,-79.91467,FALSE,7/22/2020,SINGLE_FAMILY,2340,sqft,1100,NA,NA,0,87.61,75.2,6.06,2.91,3.44,"Blackmore St, Pittsburgh, PA 15217. This home last sold for $47,994 in July 2020. 
 
The Rent Zestimate for this home is $1,288/mo. ",Swisshelm Park,FALSE,,,0,,NA,FALSE,,FALSE,NA,,NA,,,NA,NA,27,47,35
